Event ID,Event Start Date,Event Name,Shock Classification,Market Impact & Price Trajectory
EV-001,1990-08-02,Iraqi Invasion of Kuwait,Geopolitical / War,Triggered the First Gulf War Oil Shock. Crude prices doubled from roughly $15 to a spike of over $40/bbl on physical supply loss fears.
EV-002,1997-10-24,Asian Financial Crisis,Economic Recession,"A collapse in Asian manufacturing and currency valuations crippled global crude demand, sending prices into a multi-year downturn toward $10/bbl."
EV-003,2001-09-11,9/11 Terrorist Attacks,Geopolitical Shock,"Prompted an immediate near-term collapse in global aviation demand and travel, driving immediate structural downward pressure on refined product spreads."
EV-004,2003-03-19,US Invasion of Iraq,Geopolitical / War,The outbreak of the Second Gulf War severely disrupted Iraqi export capacity and introduced a long-term risk premium to Middle Eastern supply lines.
EV-005,2006-02-18,Niger Delta Militant Insurgency,Geopolitical / Supply,"Direct military attacks on Chevron and Shell facilities in Nigeria knocked out nearly 25% of the country’s daily oil production, shocking sweet crude markets."
EV-006,2007-12-01,Great Recession & Commodities Boom,Macro-Speculative,"Driven by aggressive emerging market demand (China/India) coupled with speculative capital inflows, driving Brent to a record high of $147.50/bbl by July 2008."
EV-007,2008-09-15,Lehman Brothers Bankruptcy,Systematic Economic,"Marked the peak of the global financial crisis. Global oil demand collapsed virtually overnight, forcing prices down from peak levels to $36/bbl by December."
EV-008,2011-02-15,Arab Spring & Libyan Civil War,Geopolitical / Regime Change,"Sparked widespread Middle East instability and completely halted Libyan sweet crude exports, driving Brent back up over the $100/bbl threshold."
EV-009,2012-01-23,Iranian Nuclear Program Sanctions,Geopolitical Policy,"The EU and US imposed a strict embargo on Iranian oil imports, restricting global supply balances and forcing Asian buyers to re-route supply chains."
EV-010,2014-06-19,US Shale Boom & Supply Glut,Supply / Technology,"US tight oil production reached multi-decade highs, flipping global markets into a severe oversupply. This initiated a massive 70% price structural breakdown."
EV-011,2016-11-30,OPEC+ Formation (Vienna Alliance),Cartel Policy Shift,"Facing sustained low prices, OPEC joined forces with non-OPEC producers (led by Russia) to coordinate deep production cuts, establishing a artificial price floor."
EV-012,2019-09-14,Abqaiq–Khurais Drone Attacks,Geopolitical Terror,"Drone strikes targeted major Saudi Aramco processing plants, temporarily taking out 5.7 million barrels per day—the largest single sudden supply disruption in history."
EV-013,2020-03-06,Saudi-Russia Price War,Policy Disruption,"Alliance talks collapsed as Russia rejected output cuts. Saudi Arabia responded by flooding the market at discounted rates, causing a historical pricing rout."
EV-014,2020-04-20,COVID-19 Global Demand Lockdowns,Systematic Economic,"Global transportation came to a complete halt, creating a unprecedented demand destruction event. This triggered the historic sub-zero storage settlement for WTI futures."
EV-015,2022-02-24,Russian Invasion of Ukraine,Geopolitical / War,Triggered comprehensive Western sanctions on Russian energy exports. This forced a massive restructuring of global flows and pushed Brent past $130/bbl.